Tamanho;Tempo DSATUR;DSATUR;Otimo;Networkx;tempo Networkx
493;4;11;11;11;26
406;2;11;11;11;12
11654;357;65;65;65;116
8691;134;30;30;30;181
8688;135;30;30;30;208
638;3;9;9;9;20
1628;58;13;13;13;467
301;2;11;11;11;9
18707;504;54;54;54;375
13979;321;31;31;31;433
13969;380;31;31;31;428
254;1;10;10;10;8
307350;4052;133;0;130;1311
8168;55;17;15;17;285
8169;54;16;15;17;281
16680;118;24;15;23;294
16750;121;24;15;24;288
8260;45;25;25;25;282
8263;44;25;25;25;280
17343;96;29;25;29;293
17425;106;28;25;28;292
5714;59;10;5;10;279
5734;90;6;5;10;277
9803;180;7;5;11;285
9757;135;12;5;12;284
3216;35;42;42;42;24
5198;113;73;73;73;25
387;2;8;8;8;21
1170;6;20;20;20;23
2113;13;31;31;31;23
3925;48;49;49;49;28
3885;51;31;31;31;42
3916;52;31;31;31;43
3946;52;31;31;31;43
3973;52;31;31;31;44
20;0;4;4;4;0
71;0;5;5;5;0
236;2;6;6;6;3
755;8;7;7;7;12
2360;40;8;8;8;51
1470;7;14;0;15;14
1980;8;15;11;15;21
2596;11;17;0;16;30
3328;15;17;13;19;41
4186;20;19;0;20;54
5180;24;20;0;21;72
6320;35;21;0;21;92
160;1;5;5;5;1
290;1;8;7;9;2
476;2;9;7;11;3
1368;6;14;12;14;13
728;2;12;9;11;6
1056;4;12;10;13;9
19095;274;17;0;17;209
14612;98;28;0;26;177
4100;65;49;49;49;23
3541;75;30;30;30;36
3540;76;30;30;30;36
